Knot Step 
3.25 -4 2
2.75 -4 2
2.25 -4 2
1.75 -4 2
1.25 -4 2
0.75 -4 2
0.25 -4 2
0 -3.75 2
0 -3.25 2
0 -2.75 2
0 -2.25 2
0 -1.75 2
0.25 -1.5 2
0.75 -1.5 2
1.25 -1.5 2
1.75 -1.5 2
2.25 -1.5 2
2.75 -1.5 2
3.25 -1.5 2
3.75 -1.5 2
4.25 -1.5 2
4.75 -1.5 2
5.25 -1.5 2
5.75 -1.5 2
6 -1.75 2
6 -2.25 2
6 -2.75 2
6 -3.25 2
6 -3.5 1.75
Knot Step 
6 -3.5 1.75
6 -3.5 1.25
5.75 -3.5 1
5.25 -3.5 1
4.75 -3.5 1
4.25 -3.5 1
3.75 -3.5 1
3.25 -3.5 1
2.75 -3.5 1
2.25 -3.5 1
1.75 -3.5 1
1.25 -3.5 1
1 -3.25 1
1 -3 1.25
1 -3 1.75
1 -3 2.25
1 -3 2.75
1 -3.25 3
1 -3.75 3
1 -4.25 3
1 -4.75 3
1 -5 2.75
1 -5 2.25
1 -5 1.75
1 -5 1.25
1 -5 0.75
1 -5 0.25
1.25 -5 0
1.75 -5 0
2.25 -5 0
2.75 -5 0
3.25 -5 0
3.75 -5 0
4.25 -5 0
4.5 -4.75 0
4.5 -4.25 0
4.5 -3.75 0
4.5 -3.25 0
4.5 -2.75 0
4.5 -2.5 0.25
4.5 -2.5 0.75
4.5 -2.5 1.25
4.5 -2.5 1.75
4.25 -2.5 2
3.75 -2.5 2
3.5 -2.75 2
3.5 -3.25 2
3.5 -3.75 2
3.25 -4 2
2.75 -4 2
2.25 -4 2
1.75 -4 2
1.25 -4 2
0.75 -4 2
0.25 -4 2
0 -3.75 2
0 -3.25 2
0 -2.75 2
0 -2.25 2
0 -1.75 2
0.25 -1.5 2
0.75 -1.5 2
1.25 -1.5 2
1.75 -1.5 2
2.25 -1.5 2
2.75 -1.5 2
3.25 -1.5 2
3.75 -1.5 2
4.25 -1.5 2
4.75 -1.5 2
5.25 -1.5 2
5.75 -1.5 2
6 -1.75 2
6 -2.25 2
6 -2.75 2
6 -3.25 2
6 -3.5 1.75
Knot Step 
5.5 -3.5 1.75
5.5 -3.5 1.25
5.25 -3.5 1
4.75 -3.5 1
4.25 -3.5 1
3.75 -3.5 1
3.25 -3.5 1
2.75 -3.5 1
2.25 -3.5 1
1.75 -3.5 1
1.25 -3.5 1
1 -3.25 1
1 -3 1.25
1 -3 1.75
1 -3 2.25
1 -3 2.75
1 -3.25 3
1 -3.75 3
1 -4.25 3
1 -4.75 3
1 -5 2.75
1 -5 2.25
1 -5 1.75
1 -5 1.25
1 -5 0.75
1 -5 0.25
1.25 -5 0
1.75 -5 0
2.25 -5 0
2.75 -5 0
3.25 -5 0
3.75 -5 0
4.25 -5 0
4.5 -4.75 0
4.5 -4.25 0
4.5 -3.75 0
4.5 -3.25 0
4.5 -2.75 0
4.5 -2.5 0.25
4.5 -2.5 0.75
4.5 -2.5 1.25
4.5 -2.5 1.75
4.25 -2.5 2
3.75 -2.5 2
3.5 -2.75 2
3.5 -3.25 2
3.5 -3.75 2
3.25 -4 2
2.75 -4 2
2.25 -4 2
1.75 -4 2
1.25 -4 2
0.75 -4 2
0.25 -4 2
0 -3.75 2
0 -3.25 2
0 -2.75 2
0 -2.25 2
0 -1.75 2
0.25 -1.5 2
0.75 -1.5 2
1.25 -1.5 2
1.75 -1.5 2
2.25 -1.5 2
2.75 -1.5 2
3.25 -1.5 2
3.75 -1.5 2
4.25 -1.5 2
4.75 -1.5 2
5.25 -1.5 2
5.5 -1.75 2
5.5 -2.25 2
5.5 -2.75 2
5.5 -3.25 2
5.5 -3.5 1.75
Knot Step 
5.5 -3.5 1.75
5.5 -3.5 1.25
5.25 -3.5 1
4.75 -3.5 1
4.25 -3.5 1
3.75 -3.5 1
3.25 -3.5 1
2.75 -3.5 1
2.25 -3.5 1
1.75 -3.5 1
1.25 -3.5 1
1 -3.25 1
1 -3 1.25
1 -3 1.75
1 -3 2.25
1 -3 2.75
1 -3.25 3
1 -3.75 3
1 -4.25 3
1 -4.75 3
1 -5 2.75
1 -5 2.25
1 -5 1.75
1 -5 1.25
1 -5 0.75
1 -5 0.25
1.25 -5 0
1.75 -5 0
2.25 -5 0
2.75 -5 0
3.25 -5 0
3.75 -5 0
4 -4.75 0
4 -4.25 0
4 -3.75 0
4 -3.25 0
4 -2.75 0
4 -2.5 0.25
4 -2.5 0.75
4 -2.5 1.25
4 -2.5 1.75
3.75 -2.5 2
3.5 -2.75 2
3.5 -3.25 2
3.5 -3.75 2
3.25 -4 2
2.75 -4 2
2.25 -4 2
1.75 -4 2
1.25 -4 2
0.75 -4 2
0.25 -4 2
0 -3.75 2
0 -3.25 2
0 -2.75 2
0 -2.25 2
0 -1.75 2
0.25 -1.5 2
0.75 -1.5 2
1.25 -1.5 2
1.75 -1.5 2
2.25 -1.5 2
2.75 -1.5 2
3.25 -1.5 2
3.75 -1.5 2
4.25 -1.5 2
4.75 -1.5 2
5.25 -1.5 2
5.5 -1.75 2
5.5 -2.25 2
5.5 -2.75 2
5.5 -3.25 2
5.5 -3.5 1.75
Knot Step 
5 -3.5 1.75
5 -3.5 1.25
4.75 -3.5 1
4.25 -3.5 1
3.75 -3.5 1
3.25 -3.5 1
2.75 -3.5 1
2.25 -3.5 1
1.75 -3.5 1
1.25 -3.5 1
1 -3.25 1
1 -3 1.25
1 -3 1.75
1 -3 2.25
1 -3 2.75
1 -3.25 3
1 -3.75 3
1 -4.25 3
1 -4.75 3
1 -5 2.75
1 -5 2.25
1 -5 1.75
1 -5 1.25
1 -5 0.75
1 -5 0.25
1.25 -5 0
1.75 -5 0
2.25 -5 0
2.75 -5 0
3.25 -5 0
3.75 -5 0
4 -4.75 0
4 -4.25 0
4 -3.75 0
4 -3.25 0
4 -2.75 0
4 -2.5 0.25
4 -2.5 0.75
4 -2.5 1.25
4 -2.5 1.75
3.75 -2.5 2
3.5 -2.75 2
3.5 -3.25 2
3.5 -3.75 2
3.25 -4 2
2.75 -4 2
2.25 -4 2
1.75 -4 2
1.25 -4 2
0.75 -4 2
0.25 -4 2
0 -3.75 2
0 -3.25 2
0 -2.75 2
0 -2.25 2
0 -1.75 2
0.25 -1.5 2
0.75 -1.5 2
1.25 -1.5 2
1.75 -1.5 2
2.25 -1.5 2
2.75 -1.5 2
3.25 -1.5 2
3.75 -1.5 2
4.25 -1.5 2
4.75 -1.5 2
5 -1.75 2
5 -2.25 2
5 -2.75 2
5 -3.25 2
5 -3.5 1.75
Knot Step 
5 -3.5 1.75
5 -3.5 1.25
4.75 -3.5 1
4.25 -3.5 1
3.75 -3.5 1
3.25 -3.5 1
2.75 -3.5 1
2.25 -3.5 1
1.75 -3.5 1
1.25 -3.5 1
1 -3.25 1
1 -3 1.25
1 -3 1.75
1 -3 2.25
1 -3 2.75
1 -3.25 3
1 -3.75 3
1 -4.25 3
1 -4.75 3
1 -5 2.75
1 -5 2.25
1 -5 1.75
1 -5 1.25
1 -5 0.75
1 -5 0.25
1.25 -5 0
1.75 -5 0
2.25 -5 0
2.75 -5 0
3.25 -5 0
3.5 -4.75 0
3.5 -4.25 0
3.5 -3.75 0
3.5 -3.25 0
3.5 -2.75 0
3.5 -2.5 0.25
3.5 -2.5 0.75
3.5 -2.5 1.25
3.5 -2.5 1.75
3.5 -2.75 2
3.5 -3.25 2
3.5 -3.75 2
3.25 -4 2
2.75 -4 2
2.25 -4 2
1.75 -4 2
1.25 -4 2
0.75 -4 2
0.25 -4 2
0 -3.75 2
0 -3.25 2
0 -2.75 2
0 -2.25 2
0 -1.75 2
0.25 -1.5 2
0.75 -1.5 2
1.25 -1.5 2
1.75 -1.5 2
2.25 -1.5 2
2.75 -1.5 2
3.25 -1.5 2
3.75 -1.5 2
4.25 -1.5 2
4.75 -1.5 2
5 -1.75 2
5 -2.25 2
5 -2.75 2
5 -3.25 2
5 -3.5 1.75
Knot Step 
4.5 -3.5 1.75
4.5 -3.5 1.25
4.25 -3.5 1
3.75 -3.5 1
3.25 -3.5 1
2.75 -3.5 1
2.25 -3.5 1
1.75 -3.5 1
1.25 -3.5 1
1 -3.25 1
1 -3 1.25
1 -3 1.75
1 -3 2.25
1 -3 2.75
1 -3.25 3
1 -3.75 3
1 -4.25 3
1 -4.75 3
1 -5 2.75
1 -5 2.25
1 -5 1.75
1 -5 1.25
1 -5 0.75
1 -5 0.25
1.25 -5 0
1.75 -5 0
2.25 -5 0
2.75 -5 0
3.25 -5 0
3.5 -4.75 0
3.5 -4.25 0
3.5 -3.75 0
3.5 -3.25 0
3.5 -2.75 0
3.5 -2.5 0.25
3.5 -2.5 0.75
3.5 -2.5 1.25
3.5 -2.5 1.75
3.5 -2.75 2
3.5 -3.25 2
3.5 -3.75 2
3.25 -4 2
2.75 -4 2
2.25 -4 2
1.75 -4 2
1.25 -4 2
0.75 -4 2
0.25 -4 2
0 -3.75 2
0 -3.25 2
0 -2.75 2
0 -2.25 2
0 -1.75 2
0.25 -1.5 2
0.75 -1.5 2
1.25 -1.5 2
1.75 -1.5 2
2.25 -1.5 2
2.75 -1.5 2
3.25 -1.5 2
3.75 -1.5 2
4.25 -1.5 2
4.5 -1.75 2
4.5 -2.25 2
4.5 -2.75 2
4.5 -3.25 2
4.5 -3.5 1.75
Knot Step 
4.5 -3.5 1.75
4.5 -3.5 1.25
4.25 -3.5 1
3.75 -3.5 1
3.25 -3.5 1
2.75 -3.5 1
2.25 -3.5 1
1.75 -3.5 1
1.25 -3.5 1
1 -3.25 1
1 -3 1.25
1 -3 1.75
1 -3 2.25
1 -3 2.75
1 -3.25 3
1 -3.75 3
1 -4.25 3
1 -4.75 3
1 -5 2.75
1 -5 2.25
1 -5 1.75
1 -5 1.25
1 -5 0.75
1 -5 0.25
1.25 -5 0
1.75 -5 0
2.25 -5 0
2.75 -5 0
3 -4.75 0
3 -4.25 0
3 -3.75 0
3 -3.25 0
3 -2.75 0
3 -2.5 0.25
3 -2.5 0.75
3 -2.5 1.25
3 -2.5 1.75
3 -2.75 2
3 -3.25 2
3 -3.75 2
2.75 -4 2
2.25 -4 2
1.75 -4 2
1.25 -4 2
0.75 -4 2
0.25 -4 2
0 -3.75 2
0 -3.25 2
0 -2.75 2
0 -2.25 2
0 -1.75 2
0.25 -1.5 2
0.75 -1.5 2
1.25 -1.5 2
1.75 -1.5 2
2.25 -1.5 2
2.75 -1.5 2
3.25 -1.5 2
3.75 -1.5 2
4.25 -1.5 2
4.5 -1.75 2
4.5 -2.25 2
4.5 -2.75 2
4.5 -3.25 2
4.5 -3.5 1.75
Knot Step 
4 -3.5 1.75
4 -3.5 1.25
3.75 -3.5 1
3.25 -3.5 1
2.75 -3.5 1
2.25 -3.5 1
1.75 -3.5 1
1.25 -3.5 1
1 -3.25 1
1 -3 1.25
1 -3 1.75
1 -3 2.25
1 -3 2.75
1 -3.25 3
1 -3.75 3
1 -4.25 3
1 -4.75 3
1 -5 2.75
1 -5 2.25
1 -5 1.75
1 -5 1.25
1 -5 0.75
1 -5 0.25
1.25 -5 0
1.75 -5 0
2.25 -5 0
2.75 -5 0
3 -4.75 0
3 -4.25 0
3 -3.75 0
3 -3.25 0
3 -2.75 0
3 -2.5 0.25
3 -2.5 0.75
3 -2.5 1.25
3 -2.5 1.75
3 -2.75 2
3 -3.25 2
3 -3.75 2
2.75 -4 2
2.25 -4 2
1.75 -4 2
1.25 -4 2
0.75 -4 2
0.25 -4 2
0 -3.75 2
0 -3.25 2
0 -2.75 2
0 -2.25 2
0 -1.75 2
0.25 -1.5 2
0.75 -1.5 2
1.25 -1.5 2
1.75 -1.5 2
2.25 -1.5 2
2.75 -1.5 2
3.25 -1.5 2
3.75 -1.5 2
4 -1.75 2
4 -2.25 2
4 -2.75 2
4 -3.25 2
4 -3.5 1.75
Knot Step 
4 -3.5 1.75
4 -3.5 1.25
3.75 -3.5 1
3.25 -3.5 1
2.75 -3.5 1
2.25 -3.5 1
1.75 -3.5 1
1.25 -3.5 1
1 -3.25 1
1 -3 1.25
1 -3 1.75
1 -3 2.25
1 -3 2.75
1 -3.25 3
1 -3.75 3
1 -4.25 3
1 -4.75 3
1 -5 2.75
1 -5 2.25
1 -5 1.75
1 -5 1.25
1 -5 0.75
1 -5 0.25
1.25 -5 0
1.75 -5 0
2.25 -5 0
2.5 -4.75 0
2.5 -4.25 0
2.5 -3.75 0
2.5 -3.25 0
2.5 -2.75 0
2.5 -2.5 0.25
2.5 -2.5 0.75
2.5 -2.5 1.25
2.5 -2.5 1.75
2.5 -2.75 2
2.5 -3.25 2
2.5 -3.75 2
2.25 -4 2
1.75 -4 2
1.25 -4 2
0.75 -4 2
0.25 -4 2
0 -3.75 2
0 -3.25 2
0 -2.75 2
0 -2.25 2
0 -1.75 2
0.25 -1.5 2
0.75 -1.5 2
1.25 -1.5 2
1.75 -1.5 2
2.25 -1.5 2
2.75 -1.5 2
3.25 -1.5 2
3.75 -1.5 2
4 -1.75 2
4 -2.25 2
4 -2.75 2
4 -3.25 2
4 -3.5 1.75
Knot Step 
3.5 -3.5 1.75
3.5 -3.5 1.25
3.25 -3.5 1
2.75 -3.5 1
2.25 -3.5 1
1.75 -3.5 1
1.25 -3.5 1
1 -3.25 1
1 -3 1.25
1 -3 1.75
1 -3 2.25
1 -3 2.75
1 -3.25 3
1 -3.75 3
1 -4.25 3
1 -4.75 3
1 -5 2.75
1 -5 2.25
1 -5 1.75
1 -5 1.25
1 -5 0.75
1 -5 0.25
1.25 -5 0
1.75 -5 0
2.25 -5 0
2.5 -4.75 0
2.5 -4.25 0
2.5 -3.75 0
2.5 -3.25 0
2.5 -2.75 0
2.5 -2.5 0.25
2.5 -2.5 0.75
2.5 -2.5 1.25
2.5 -2.5 1.75
2.5 -2.75 2
2.5 -3.25 2
2.5 -3.75 2
2.25 -4 2
1.75 -4 2
1.25 -4 2
0.75 -4 2
0.25 -4 2
0 -3.75 2
0 -3.25 2
0 -2.75 2
0 -2.25 2
0 -1.75 2
0.25 -1.5 2
0.75 -1.5 2
1.25 -1.5 2
1.75 -1.5 2
2.25 -1.5 2
2.75 -1.5 2
3.25 -1.5 2
3.5 -1.75 2
3.5 -2.25 2
3.5 -2.75 2
3.5 -3.25 2
3.5 -3.5 1.75
Knot Step 
3.5 -3.5 1.75
3.5 -3.5 1.25
3.25 -3.5 1
2.75 -3.5 1
2.25 -3.5 1
1.75 -3.5 1
1.25 -3.5 1
1 -3.25 1
1 -3 1.25
1 -3 1.75
1 -3 2.25
1 -3 2.75
1 -3.25 3
1 -3.75 3
1 -4.25 3
1 -4.75 3
1 -5 2.75
1 -5 2.25
1 -5 1.75
1 -5 1.25
1 -5 0.75
1 -5 0.25
1.25 -5 0
1.75 -5 0
2 -4.75 0
2 -4.25 0
2 -3.75 0
2 -3.25 0
2 -2.75 0
2 -2.5 0.25
2 -2.5 0.75
2 -2.5 1.25
2 -2.5 1.75
2 -2.75 2
2 -3.25 2
2 -3.75 2
1.75 -4 2
1.25 -4 2
0.75 -4 2
0.25 -4 2
0 -3.75 2
0 -3.25 2
0 -2.75 2
0 -2.25 2
0 -1.75 2
0.25 -1.5 2
0.75 -1.5 2
1.25 -1.5 2
1.75 -1.5 2
2.25 -1.5 2
2.75 -1.5 2
3.25 -1.5 2
3.5 -1.75 2
3.5 -2.25 2
3.5 -2.75 2
3.5 -3.25 2
3.5 -3.5 1.75
Knot Step 
3 -3.5 1.75
3 -3.5 1.25
2.75 -3.5 1
2.25 -3.5 1
1.75 -3.5 1
1.25 -3.5 1
1 -3.25 1
1 -3 1.25
1 -3 1.75
1 -3 2.25
1 -3 2.75
1 -3.25 3
1 -3.75 3
1 -4.25 3
1 -4.75 3
1 -5 2.75
1 -5 2.25
1 -5 1.75
1 -5 1.25
1 -5 0.75
1 -5 0.25
1.25 -5 0
1.75 -5 0
2 -4.75 0
2 -4.25 0
2 -3.75 0
2 -3.25 0
2 -2.75 0
2 -2.5 0.25
2 -2.5 0.75
2 -2.5 1.25
2 -2.5 1.75
2 -2.75 2
2 -3.25 2
2 -3.75 2
1.75 -4 2
1.25 -4 2
0.75 -4 2
0.25 -4 2
0 -3.75 2
0 -3.25 2
0 -2.75 2
0 -2.25 2
0 -1.75 2
0.25 -1.5 2
0.75 -1.5 2
1.25 -1.5 2
1.75 -1.5 2
2.25 -1.5 2
2.75 -1.5 2
